Price,Close
Ticker,BBCA.JK
Date,
2015-01-02,2171.209228515625
2015-01-05,2167.10498046875
2015-01-06,2150.68798828125
2015-01-07,2154.79248046875
2015-01-08,2130.165771484375
2015-01-09,2121.95751953125
2015-01-12,2134.270751953125
2015-01-13,2134.270751953125
2015-01-14,2121.95751953125
2015-01-15,2126.0615234375
2015-01-16,2126.0615234375
2015-01-19,2134.270751953125
2015-01-20,2138.37451171875
2015-01-21,2146.583251953125
2015-01-22,2167.10498046875
2015-01-23,2187.627197265625
2015-01-26,2158.897216796875
2015-01-27,2167.10498046875
2015-01-28,2179.41845703125
2015-01-29,2187.627197265625
2015-01-30,2195.8359375
2015-02-02,2191.732177734375
2015-02-03,2216.35791015625
2015-02-04,2282.027099609375
2015-02-05,2249.192626953125
2015-02-06,2249.192626953125
2015-02-09,2265.6103515625
2015-02-10,2257.401611328125
2015-02-11,2286.132568359375
2015-02-12,2282.027099609375
2015-02-13,2302.54931640625
2015-02-16,2298.445068359375
2015-02-17,2310.758056640625
2015-02-18,2310.758056640625
2015-02-20,2306.653564453125
2015-02-23,2302.54931640625
2015-02-24,2306.653564453125
2015-02-25,2314.862548828125
2015-02-26,2310.758056640625
2015-02-27,2314.862548828125
2015-03-02,2335.384765625
2015-03-03,2364.1142578125
2015-03-04,2368.21923828125
2015-03-05,2380.531982421875
2015-03-06,2396.94921875
2015-03-09,2360.0107421875
2015-03-10,2368.21923828125
2015-03-11,2343.593505859375
2015-03-12,2331.27978515625
2015-03-13,2314.862548828125
2015-03-16,2323.071044921875
2015-03-17,2314.862548828125
2015-03-18,2335.384765625
2015-03-19,2339.4892578125
2015-03-20,2351.80224609375
2015-03-23,2372.32373046875
2015-03-24,2388.74169921875
2015-03-25,2401.053955078125
2015-03-26,2384.636962890625
2015-03-27,2372.32373046875
2015-03-30,2380.531982421875
2015-03-31,2433.8896484375
2015-04-01,2433.8896484375
2015-04-02,2429.78466796875
2015-04-06,2491.350341796875
